CustAcct,CustomerName,ItemCode,ItemType,ItemDescription,ItemExtendedDescription,ItemCategory,CategoryDescription,ItemSubCat,SubCatDescription,SalesClass,CPTaxFlag,CPComFlag,PriceUnit,ListPrice,CurrentPrice,PriceOpt,PriceSource,CurPriceMargin,CurRebateFlag,CurRebateCost,LastPricePaid,LastPriceMargin,LastQtyOrdered,StockUnit,VMIParStock,FirstSaleDate,LastSaleDate,NextSaleDate,CPPrintOnOrderForm,CPPriceOptDesc,CPPriceCtrl,CPPriceOpt,CPPriceBrkt,CPPricePct,CPSpecialPrice,SpecialPriceChgFlag,SpecialPriceMargin,CPNotesDate,CPNotes1,CPNotes2,CPNotes3,CPNotesAddToOrder,MSDSReqdFlag,MSDSCode,MSDSDescription,MSDSDueFlag,MSDSSentFlag,MSDSSentDate,CorpMaxOrderQty,CorpCurrentBudgetQty,CorpLastBudgetQty,SalesmanName,SupplierAcct,SmanCode,SupplierName,CustomerPartNum,SupplierPartNum,JMCatItemFlag,PricingClassDesc,PricingClassCode,CustID,ItemID,ItemSubCatID,SmanID,VendorID,,
100000,RANDY FRONTZ,GPT221060-CS,I,8-1/2 x 11 COPY PAPER #20,92 bright,0,,200-L,PRINTER PAPER,,Y,Y,CS,0,0,b1,b1   Item,0,N,0,0,0,1,CS,0,6/29/2017,6/29/2017,,Y,(Use Cust Default),,,,,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,AMSAN100,10,THE HOME DEPOT PRO INSTITUTIONAL,,GPT221060,Y,(UnAssigned),,10001,109422,672,11,10432,,
100000,RANDY FRONTZ,BOX-181212-EA,I,CORRUGATED BOX (NON-SCORED),,0,,340-A,BOXES CORRUGATED CARTON,,Y,Y,Each,3.49,0,S,S    CProd,0,N,0,0,0,19,EA,0,6/26/2019,6/26/2019,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOXPAC,10,"BOX ACQUISITIONS, LLC",,18X12X12,Y,(UnAssigned),,10001,109488,722,11,10067,,
100000,RANDY FRONTZ,ST-24X36-25#-BD,I,"24"" X 36"" 25# NEWSPRINT",,0,,330-I,PAPER NEWSPRINT,,Y,Y,BDL,28.38,0,S,S    CProd,0,N,0,0,0,1,BD,0,7/16/2012,6/26/2019,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,BOCBOA,10,"BOCKS BOARD PACKAGING,INC",,24X36-25#,Y,(UnAssigned),,10001,109514,733,11,10066,,
100000,RANDY FRONTZ,NB-3940-CS,I,PP HVY WT WHITE FORK 1000/CS,,0,,210-L,CUTLERY,,Y,Y,CS,33.33,13.95,S,S    CProd,-4.3011,N,0,13.95,0,4,CS,0,11/19/2018,11/2/2023,10/25/2025,Y,Use Special Price,S,S,,0,13.95,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,NUTRIB,10,NUTRI-BON DISTRIBUTING CO.,,3940,Y,(UnAssigned),,10001,110082,666,11,10304,,
100000,RANDY FRONTZ,NB-3942-CS,I,PP HVY WT WHITE SPOON 1000/CS,,0,,210-L,CUTLERY,,Y,Y,CS,33.33,13.95,S,S    CProd,-4.3011,N,0,13.95,0,4,CS,0,12/20/2019,11/2/2023,6/1/2026,Y,Use Special Price,S,S,,0,13.95,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,NUTRIB,10,NUTRI-BON DISTRIBUTING CO.,,3942,Y,(UnAssigned),,10001,110083,666,11,10304,,
100000,RANDY FRONTZ,NB-3941-CS,I,PP HVY WT WHITE KNIFE 1000/CS,,0,,210-L,CUTLERY,,Y,Y,CS,33.33,14.55,P0,P0   CProd,0,N,0,13.95,0,2,CS,0,4/22/2019,2/5/2024,11/20/2028,Y,,P0,P,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,NUTRIB,10,NUTRI-BON DISTRIBUTING CO.,,3941,Y,(UnAssigned),,10001,110084,666,11,10304,,
100000,RANDY FRONTZ,PF-#9P-WHT-CS,I,#9 PROCESSOR FOAM TRAY WHITE,200/CS,0,,230-E,FOAM TRAY,,Y,Y,CS,31.76,14.29,S,S    CProd,0,N,0,14.29,0,2,CS,0,4/22/2019,9/6/2024,7/5/2025,Y,Use Special Price,S,S,,0,14.29,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DYALS100,10,DYAL SALES,,12249,Y,(UnAssigned),,10001,110258,708,11,10454,,
100000,RANDY FRONTZ,CF-3340-150B-CS,I,33X40 1.5 MIL BLACK,100/CS (15-20 GALLON),0,,120-A,CANLINER LOW LINEAR,,Y,Y,CS,39.31,0,S,S    CProd,0,N,0,0,0,1,CS,0,11/14/2018,11/14/2018,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,COAST120,10,COASTAL FILMS OF FLORIDA,,TYCVLR3340-150B,Y,(UnAssigned),,10001,110293,674,11,10649,,
100000,RANDY FRONTZ,ID-315204-CS,I,CRANBERRY HAIR AND BODY FOAM,4/1,0,,130-B,CHEMICAL FOAM SOAP,,Y,Y,CS,131.73,59.28,P0,P0   CProd,0,N,0,56.45,0,1,CS,0,8/8/2024,8/8/2024,,Y,0% Profit Margin,P0,P,,0,0,+,0,8/6/2024,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,DADEP100,10,DADE PAPER,,315204,Y,(UnAssigned),,10001,110498,619,11,10306,,
100000,RANDY FRONTZ,SP-80098-CS,I,BLACK TSACK BAGS 12X7X23,700/CS 13MIC,0,,200-M,BAGS GROCERY PLASTIC,,Y,Y,CS,54.6,0,S,S    CProd,0,N,0,0,0,1,CS,0,7/27/2022,7/27/2022,,Y,Use Special Price,S,S,,0,0,+,0,,,,,N,N,,(No MSDS Sheet Required),N,N,,0,0,0,Randy Frontz,SOUPAP,10,SOUTHEASTERN PAPER GROUP,,80098,N,(UnAssigned),,10001,111227,683,11,10279,,
